===============================================================
           Sistemas Distribuí­dos Prof. Elias
          LOG do Trabalho Prático 0, Tarefa 0
      Digitar, compilar e executar o programa tempo.c
   Este programa foi executado para: N=10 processos.
           Tempo Total de Simulação = 400
===============================================================
[67.0, Proc. 0, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 9
[68.0, Proc. 1, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 0
[69.0, Proc. 2, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 1 com nova rodada e sorteie o numero 1
[70.0, Proc. 4, Rodada 0, Sorteio:  1  0  1  0  1 -1 -1 -1 -1  0  ]: Recebido mensagem de 3
[71.0, Proc. 5, Rodada 0, Sorteio:  1  0  1  0  1  0 -1 -1 -1  0  ]: Recebido mensagem de 4
[72.0, Proc. 6, Rodada 0, Sorteio:  1  0  1  0  1  0  0 -1 -1  0  ]: Recebido mensagem de 5
[73.0, Proc. 7, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0 -1  0  ]: Recebido mensagem de 6
[75.0, Proc. 9, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 8
[76.0, Proc. 0, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 9
[77.0, Proc. 1, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 0
[78.0, Proc. 2, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 1
[79.0, Proc. 3, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Processo 3 e recebeu mensagem de 2 com nova rodada e nao sou candidato
[80.0, Proc. 5, Rodada 0, Sorteio:  1  0  1  0  1  0 -1 -1 -1  0  ]: Recebido mensagem de 4
[81.0, Proc. 6, Rodada 0, Sorteio:  1  0  1  0  1  0  0 -1 -1  0  ]: Recebido mensagem de 5
[82.0, Proc. 7, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0 -1  0  ]: Recebido mensagem de 6
[84.0, Proc. 9, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 8
[85.0, Proc. 0, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 9
[86.0, Proc. 1, Rodada 1, Sorteio:  1  0 -1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 0
[87.0, Proc. 2, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 1
[88.0, Proc. 3, Rodada 1, Sorteio:  1  0  1  0 -1  0  0  0  0  0  ]: Recebido mensagem de 2
